tool,run,parameter,moment,value
nm7,24,P14,estimate,0.0802412
nm7,24,P1,prse,Inf
nm7,24,P2,prse,Inf
nm7,24,P3,prse,Inf
nm7,24,P4,prse,Inf
nm7,24,P5,prse,Inf
nm7,24,P6,prse,Inf
nm7,24,P7,prse,Inf
nm7,24,P8,prse,Inf
nm7,24,P9,prse,Inf
nm7,24,P10,prse,Inf
nm7,24,P11,prse,Inf
nm7,24,P12,prse,Inf
nm7,24,P13,prse,Inf
nm7,24,P14,prse,Inf
nm7,24,ofv,minimum,2700.22102883421
nm7,25,prob,text,25 phase1 2 CMT like 1004 but diff. initial on V3
nm7,25,min,status,0
nm7,25,P1,estimate,8.72911
nm7,25,P2,estimate,23.7989
nm7,25,P3,estimate,0.0709985
nm7,25,P4,estimate,4.24431
nm7,25,P5,estimate,128.927
nm7,25,P6,estimate,1.07131
nm7,25,P7,estimate,1.67524
nm7,25,P8,estimate,0.0607034
nm7,25,P9,estimate,0.261712
nm7,25,P10,estimate,0
nm7,25,P11,estimate,0.128776
nm7,25,P12,estimate,0
nm7,25,P13,estimate,0
nm7,25,P14,estimate,0.130532
nm7,25,P1,prse,Inf
nm7,25,P2,prse,Inf
nm7,25,P3,prse,Inf
nm7,25,P4,prse,Inf
nm7,25,P5,prse,Inf
nm7,25,P6,prse,Inf
nm7,25,P7,prse,Inf
nm7,25,P8,prse,Inf
nm7,25,P9,prse,Inf
nm7,25,P10,prse,Inf
nm7,25,P11,prse,Inf
nm7,25,P12,prse,Inf
nm7,25,P13,prse,Inf
nm7,25,P14,prse,Inf
nm7,25,ofv,minimum,2517.57417511427
nm7,26,prob,text,26 phase1 2 CMT like 1004 but diff. initial on V3
nm7,26,min,status,0
nm7,26,P1,estimate,8.49386
nm7,26,P2,estimate,18.8921
nm7,26,P3,estimate,0.0683689
nm7,26,P4,estimate,3.7076
nm7,26,P5,estimate,94.2547
nm7,26,P6,estimate,1.1187
nm7,26,P7,estimate,1.31658
nm7,26,P8,estimate,0.0772999
nm7,26,P9,estimate,0.260337
nm7,26,P10,estimate,0
nm7,26,P11,estimate,0.132488
nm7,26,P12,estimate,0
nm7,26,P13,estimate,0
nm7,26,P14,estimate,0.137707
nm7,26,P1,prse,Inf
nm7,26,P2,prse,Inf
nm7,26,P3,prse,Inf
nm7,26,P4,prse,Inf
nm7,26,P5,prse,Inf
nm7,26,P6,prse,Inf
nm7,26,P7,prse,Inf
nm7,26,P8,prse,Inf
