$PROB 67 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679798192,12.794,17.9716,0.0911588,3.8456,63.1691,0.0384865,0.0508393,0,0.0411891,0,0,0.0340093
$PROB 67 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 68 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679675721,12.7939,17.9719,0.0911574,3.84528,63.1676,0.0384818,0.0508567,0,0.0412302,0,0,0.0340151
$PROB 68 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 69 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679906708,12.7939,17.972,0.091157,3.84545,63.1677,0.0384839,0.0508465,0,0.0412252,0,0,0.0340102
$PROB 69 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 70 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679613932,12.7939,17.9717,0.0911563,3.84509,63.1661,0.0384816,0.0508588,0,0.0412316,0,0,0.0340161
$PROB 70 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 71 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679666252,12.7939,17.9719,0.0911573,3.84526,63.1674,0.0384818,0.050857,0,0.0412304,0,0,0.0340152
$PROB 71 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 72 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679933352,12.7938,17.9718,0.0911558,3.84532,63.1668,0.0384839,0.0508461,0,0.041223,0,0,0.0340098
$PROB 72 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 73 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679566759,12.7939,17.9714,0.0911546,3.84485,63.1643,0.0384815,0.0508604,0,0.0412325,0,0,0.0340167
$PROB 73 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 74 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679244815,12.7941,17.9718,0.0911651,3.8456,63.1703,0.0384825,0.0508563,0,0.0412399,0,0,0.0340119
$PROB 74 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 75 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679605186,12.7939,17.9717,0.091156,3.84505,63.1658,0.0384815,0.0508591,0,0.0412317,0,0,0.0340162
$PROB 75 phase1 2 CMT like 1004 but diff. initial on V3,RSE,,,,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
$PROB 76 phase1 2 CMT like 1004 but diff. initial on V3,,0,,-2522.25679915316,12.7938,17.9719,0.0911566,3.84541,63.1675,0.0384839,0.0508464,0,0.0412245,0,0,0.0340101
