"tool","run","parameter","moment","value"
"nm7","15","prob","text","15 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","15","min","status","0"
"nm7","15","ofv","estimate","2738.73342071709"
"nm7","15","OMEGA1.1","estimate","0.165872"
"nm7","15","OMEGA1.1","prse",NA
"nm7","15","OMEGA2.1","estimate","0"
"nm7","15","OMEGA2.1","prse",NA
"nm7","15","OMEGA2.2","estimate","0.13592"
"nm7","15","OMEGA2.2","prse",NA
"nm7","15","OMEGA3.1","estimate","0"
"nm7","15","OMEGA3.1","prse",NA
"nm7","15","OMEGA3.2","estimate","0"
"nm7","15","OMEGA3.2","prse",NA
"nm7","15","OMEGA3.3","estimate","0.0926145"
"nm7","15","OMEGA3.3","prse",NA
"nm7","15","SIGMA1.1","estimate","0.0694669"
"nm7","15","SIGMA1.1","prse",NA
"nm7","15","THETA1","estimate","7.98107"
"nm7","15","THETA1","prse",NA
"nm7","15","THETA2","estimate","22.0872"
"nm7","15","THETA2","prse",NA
"nm7","15","THETA3","estimate","0.0736908"
"nm7","15","THETA3","prse",NA
"nm7","15","THETA4","estimate","3.75632"
"nm7","15","THETA4","prse",NA
"nm7","15","THETA5","estimate","111.116"
"nm7","15","THETA5","prse",NA
"nm7","15","THETA6","estimate","0.975654"
"nm7","15","THETA6","prse",NA
"nm7","15","THETA7","estimate","2.02271"
"nm7","15","THETA7","prse",NA
"nm7","16","prob","text","16 phase1 2 CMT like 1004 but diff. initial on V3"
"nm7","16","min","status","0"
"nm7","16","ofv","estimate","2571.49615073317"
"nm7","16","OMEGA1.1","estimate","0.153825"
"nm7","16","OMEGA1.1","prse",NA
"nm7","16","OMEGA2.1","estimate","0"
"nm7","16","OMEGA2.1","prse",NA
"nm7","16","OMEGA2.2","estimate","0.184547"
"nm7","16","OMEGA2.2","prse",NA
"nm7","16","OMEGA3.1","estimate","0"
"nm7","16","OMEGA3.1","prse",NA
"nm7","16","OMEGA3.2","estimate","0"
"nm7","16","OMEGA3.2","prse",NA
"nm7","16","OMEGA3.3","estimate","0.0481827"
"nm7","16","OMEGA3.3","prse",NA
"nm7","16","SIGMA1.1","estimate","0.0562731"
"nm7","16","SIGMA1.1","prse",NA
"nm7","16","THETA1","estimate","7.7613"
"nm7","16","THETA1","prse",NA
"nm7","16","THETA2","estimate","21.93"
"nm7","16","THETA2","prse",NA
"nm7","16","THETA3","estimate","0.0699418"
"nm7","16","THETA3","prse",NA
"nm7","16","THETA4","estimate","3.71051"
"nm7","16","THETA4","prse",NA
"nm7","16","THETA5","estimate","91.9916"
"nm7","16","THETA5","prse",NA
"nm7","16","THETA6","estimate","0.956247"
"nm7","16","THETA6","prse",NA
"nm7","16","THETA7","estimate","2.23841"
"nm7","16","THETA7","prse",NA
